Inputs
run_no, N, A_sail (m^2), altitude (km), F_drag (N), r_wire (m), d_wire (mm), R_hub (m), H_hub (m), mesh_hub (m), mesh_wire (m), E_nitinol (GPa), nu_nitinol, rho_nitinol (kg/m^3), R_sail (m), L_wire (m), beta (deg), w_scale (N/m^2)
1, 4, 9.0, 300, 1.132200e-02, 0.0005, 1.000, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 1.283672e-03
2, 4, 9.0, 325, 6.864300e-03, 0.0005, 1.000, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 7.782645e-04
3, 4, 9.0, 350, 4.113900e-03, 0.0005, 1.000, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 4.664281e-04
4, 4, 9.0, 375, 2.816100e-03, 0.0005, 1.000, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 3.192854e-04
5, 4, 9.0, 400, 1.631700e-03, 0.0005, 1.000, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 1.849998e-04
6, 4, 9.0, 300, 1.132200e-02, 0.000625, 1.250, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 1.283672e-03
7, 4, 9.0, 325, 6.864300e-03, 0.000625, 1.250, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 7.782645e-04
8, 4, 9.0, 350, 4.113900e-03, 0.000625, 1.250, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 4.664281e-04
9, 4, 9.0, 375, 2.816100e-03, 0.000625, 1.250, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 3.192854e-04
10, 4, 9.0, 400, 1.631700e-03, 0.000625, 1.250, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 1.849998e-04
11, 4, 9.0, 300, 1.132200e-02, 0.00075, 1.500, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 1.283672e-03
12, 4, 9.0, 325, 6.864300e-03, 0.00075, 1.500, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 7.782645e-04
13, 4, 9.0, 350, 4.113900e-03, 0.00075, 1.500, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 4.664281e-04
14, 4, 9.0, 375, 2.816100e-03, 0.00075, 1.500, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 3.192854e-04
15, 4, 9.0, 400, 1.631700e-03, 0.00075, 1.500, 0.03, 0.09, 0.02, 0.1, 35.00, 0.3, 6450.0, 2.121320, 2.100001, 90.0000, 1.849998e-04
