N,Wire Diameter (mm),Altitude (km),Wire Mass (kg),Max Deformation (m)
4,1.0,300,0.0426,1.657303
4,1.0,325,0.0426,1.277648
4,1.0,350,0.0426,0.8928137
4,1.0,375,0.0426,0.6505875
4,1.0,400,0.0426,0.3933923
4,1.5,300,0.0957,0.5286801
4,1.5,325,0.0957,0.3292586
4,1.5,350,0.0957,0.1994374
4,1.5,375,0.0957,0.1369636
4,1.5,400,0.0957,0.07951099
4,2.0,300,0.1702,0.1739233
4,2.0,325,0.1702,0.1057557
4,2.0,350,0.1702,0.063451
4,2.0,375,0.1702,0.04344855
4,2.0,400,0.1702,0.02517974
4,2.5,300,0.266,0.07151471
4,2.5,325,0.266,0.04337943
4,2.5,350,0.266,0.02600289
4,2.5,375,0.266,0.01780082
4,2.5,400,0.266,0.01031446
4,3.0,300,0.383,0.03450897
4,3.0,325,0.383,0.0209245
4,3.0,350,0.383,0.01254098
4,3.0,375,0.383,0.008584823
4,3.0,400,0.383,0.004974244
6,1.0,300,0.0561,1.011834
6,1.0,325,0.0561,0.6942723
6,1.0,350,0.0561,0.442083
6,1.0,375,0.0561,0.3089059
6,1.0,400,0.0561,0.1812419
6,1.5,300,0.1262,0.2470191
6,1.5,325,0.1262,0.1509108
6,1.5,350,0.1262,0.09070572
6,1.5,375,0.1262,0.06214488
6,1.5,400,0.1262,0.03602619
6,2.0,300,0.2244,0.07901695
6,2.0,325,0.2244,0.04794387
6,2.0,350,0.2244,0.02874206
6,2.0,375,0.2244,0.0196766
6,2.0,400,0.2244,0.01140156
6,2.5,300,0.3507,0.03239874
6,2.5,325,0.3507,0.01964527
6,2.5,350,0.3507,0.01177436
6,2.5,375,0.3507,0.008060053
6,2.5,400,0.3507,0.004670181
6,3.0,300,0.505,0.0156269
6,3.0,325,0.505,0.009474555
6,3.0,350,0.505,0.005678344
6,3.0,375,0.505,0.003887026
6,3.0,400,0.505,0.002252218
8,1.0,300,0.0718,0.7410318
8,1.0,325,0.0718,0.4835314
8,1.0,350,0.0718,0.2992933
8,1.0,375,0.0718,0.2069698
8,1.0,400,0.0718,0.1206576
8,1.5,300,0.1616,0.1649249
8,1.5,325,0.1616,0.1003612
8,1.5,350,0.1616,0.06023188
8,1.5,375,0.1616,0.04124781
8,1.5,400,0.1616,0.02390555
8,2.0,300,0.2873,0.05245935
8,2.0,325,0.2873,0.03181697
8,2.0,350,0.2873,0.01907115
8,2.0,375,0.2873,0.01305537
8,2.0,400,0.2873,0.007564706
8,2.5,300,0.4489,0.02149796
8,2.5,325,0.4489,0.0130346
8,2.5,350,0.4489,0.007812056
8,2.5,375,0.4489,0.005347647
8,2.5,400,0.4489,0.003098537
8,3.0,300,0.6464,0.01036825
8,3.0,325,0.6464,0.006286156
8,3.0,350,0.6464,0.003767428
8,3.0,375,0.6464,0.002578933
8,3.0,400,0.6464,0.001494282
